driver,event_time,event_type
canj1,2015-10-23T14:46:08Z,HB
canj1,2015-10-26T15:06:03Z,HB
canj1,2015-10-28T11:58:24Z,HB
canj1,2015-10-28T17:42:36Z,HB
canj1,2015-11-02T07:13:56Z,HB
canj1,2015-11-04T08:35:29Z,HB
canj1,2015-11-06T11:32:11Z,HB
canj1,2015-11-09T19:21:13Z,HB
canj1,2015-11-11T15:51:07Z,HB
canj1,2015-11-18T15:49:17Z,HB
farj7,2016-03-09T08:54:42Z,HB
farj7,2016-03-09T17:12:54Z,HW
farj7,2016-03-09T17:34:20Z,HW
farj7,2016-03-10T16:26:12Z,HW
farj7,2016-03-13T15:58:10Z,HW
gres0,2015-04-08T09:53:43Z,CM
gres0,2015-08-26T11:33:21Z,HW
gres0,2015-08-26T13:29:12Z,CM
gres0,2015-08-26T16:18:47Z,HW
gres0,2015-08-31T08:36:13Z,CM
hunt,2016-03-01T08:08:47Z,HB
hunt,2016-03-02T10:47:46Z,HW
hunt,2016-03-07T16:14:24Z,HB
kell0,2016-02-07T13:27:14Z,HW
kell0,2016-02-09T12:08:58Z,HW
kell0,2016-02-12T08:36:13Z,HW
lewr10,2015-05-18T17:44:20Z,HB
lewr10,2015-05-18T21:46:43Z,HB
lewr10,2015-05-31T17:34:13Z,HB
lewr10,2015-05-31T18:03:50Z,RS
lewr10,2015-05-31T19:03:21Z,HB
lewr10,2015-05-31T19:04:55Z,HB
lewr10,2015-05-31T19:59:58Z,HB
lewr10,2015-05-31T20:48:18Z,HB
lewr10,2015-05-31T20:49:03Z,HB
lewr10,2015-05-31T20:50:38Z,HB
lewr10,2015-05-31T22:29:21Z,HB
lewr10,2015-05-31T23:50:21Z,HB
lewr10,2015-06-01T17:36:16Z,CM
rice30,2015-04-11T17:00:39Z,HB
rice30,2015-04-12T13:57:58Z,HB
rice30,2015-04-13T22:01:45Z,HB
rice30,2015-04-15T11:15:51Z,HB
rice30,2015-04-15T11:19:29Z,HB
rice30,2015-04-16T13:25:05Z,HB
rice30,2015-04-16T14:17:08Z,HB
rice30,2015-04-22T16:28:15Z,HB
rice30,2015-04-22T16:30:47Z,HB
smiv,2015-07-29T16:56:38Z,HB
smiv,2015-07-29T16:57:10Z,HB
smiv,2015-07-29T17:00:03Z,HB
smiv,2015-08-01T08:38:13Z,HB
smiv,2015-08-05T07:32:38Z,HB
smiv,2015-08-12T10:03:15Z,HB
smiv,2015-08-18T12:52:42Z,HB
smiv,2015-08-27T08:54:13Z,HB
sunc,2016-01-07T22:05:03Z,HW
sunc,2016-01-10T13:17:57Z,HB
sunc,2016-01-10T13:56:12Z,HB
sunc,2016-01-13T23:40:47Z,HB
sunc,2016-01-18T21:04:38Z,HB
sunc,2016-01-18T21:06:51Z,HB
sunc,2016-01-18T21:29:27Z,HB
sunc,2016-01-19T13:47:46Z,HW
woow59,2015-05-10T10:05:34Z,HB
woow59,2015-05-10T10:06:19Z,HB
woow59,2015-05-10T10:22:04Z,HB
woow59,2015-05-14T12:43:46Z,HB
woow59,2015-05-14T13:03:55Z,HB
woow59,2015-05-27T09:51:36Z,HB
woow59,2015-05-30T15:35:25Z,CM
