driver,shift_ID,shift_start,shift_end,shift_length
canj1,1,2015-10-23T08:09:26Z,2015-10-23T18:37:56Z,628
canj1,2,2015-10-26T07:49:04Z,2015-10-26T15:06:58Z,437
canj1,3,2015-10-27T01:59:48Z,2015-10-27T07:58:56Z,359
canj1,4,2015-10-28T08:05:08Z,2015-10-28T20:20:32Z,735
canj1,6,2015-10-30T09:27:12Z,2015-10-30T21:18:22Z,711
canj1,7,2015-11-02T06:26:48Z,2015-11-02T20:06:54Z,820
canj1,8,2015-11-03T06:29:40Z,2015-11-03T20:00:52Z,811
canj1,9,2015-11-04T07:57:26Z,2015-11-04T11:22:46Z,205
canj1,10,2015-11-04T21:39:14Z,2015-11-04T22:34:54Z,55
canj1,12,2015-11-06T10:19:40Z,2015-11-06T21:23:00Z,663
canj1,13,2015-11-07T08:39:42Z,2015-11-07T21:37:50Z,778
canj1,14,2015-11-09T08:24:26Z,2015-11-09T21:38:00Z,793
canj1,16,2015-11-11T08:27:20Z,2015-11-11T19:21:30Z,654
canj1,17,2015-11-12T05:48:48Z,2015-11-12T18:44:48Z,776
canj1,18,2015-11-13T05:55:52Z,2015-11-13T14:22:58Z,507
canj1,19,2015-11-16T05:25:16Z,2015-11-16T17:42:14Z,736
canj1,20,2015-11-17T06:32:58Z,2015-11-17T20:14:56Z,821
canj1,21,2015-11-18T06:23:32Z,2015-11-18T19:16:12Z,772
canj1,22,2015-11-19T05:30:30Z,2015-11-19T18:51:48Z,801
farj7,1,2016-02-23T12:02:12Z,2016-02-23T18:55:40Z,413
farj7,2,2016-02-24T07:39:40Z,2016-02-24T17:46:20Z,606
farj7,3,2016-02-25T10:50:32Z,2016-02-25T21:46:58Z,656
farj7,4,2016-02-28T08:33:12Z,2016-02-28T18:47:00Z,613
farj7,5,2016-02-29T07:18:52Z,2016-02-29T18:53:06Z,694
farj7,6,2016-03-01T07:08:54Z,2016-03-01T18:15:20Z,666
farj7,7,2016-03-02T06:20:00Z,2016-03-02T16:38:58Z,618
farj7,8,2016-03-03T07:04:46Z,2016-03-03T16:01:26Z,536
farj7,9,2016-03-06T07:01:12Z,2016-03-06T18:34:52Z,693
farj7,10,2016-03-07T08:18:18Z,2016-03-07T19:09:46Z,651
farj7,11,2016-03-08T05:26:52Z,2016-03-08T18:19:22Z,772
farj7,12,2016-03-09T05:48:34Z,2016-03-09T19:31:02Z,822
farj7,13,2016-03-10T07:46:40Z,2016-03-10T21:04:52Z,798
farj7,14,2016-03-13T08:38:10Z,2016-03-13T20:46:42Z,728
farj7,15,2016-03-14T07:25:54Z,2016-03-14T20:38:08Z,792
farj7,16,2016-03-15T08:06:18Z,2016-03-15T21:12:30Z,786
farj7,17,2016-03-16T08:17:42Z,2016-03-16T18:17:00Z,599
farj7,18,2016-03-17T08:40:44Z,2016-03-17T19:15:12Z,634
farj7,19,2016-03-20T07:06:34Z,2016-03-20T18:27:04Z,680
farj7,20,2016-03-21T06:59:16Z,2016-03-21T20:59:52Z,840
farj7,21,2016-03-22T08:47:18Z,2016-03-22T17:31:58Z,524
farj7,22,2016-03-23T08:17:38Z,2016-03-23T18:31:54Z,614
farj7,23,2016-03-24T08:21:42Z,2016-03-24T15:02:00Z,400
farj7,24,2016-03-27T08:17:36Z,2016-03-27T19:43:14Z,685
farj7,25,2016-03-28T07:54:52Z,2016-03-28T17:01:54Z,547
farj7,26,2016-03-29T05:38:24Z,2016-03-29T19:00:38Z,802
gres0,1,2015-04-06T05:09:34Z,2015-04-06T18:12:14Z,782
gres0,2,2015-04-07T05:33:30Z,2015-04-07T17:09:16Z,695
gres0,3,2015-04-08T07:12:06Z,2015-04-08T10:17:44Z,185
gres0,4,2015-04-10T18:53:14Z,2015-04-11T07:44:08Z,770
gres0,5,2015-04-11T18:38:18Z,2015-04-11T22:51:34Z,253
gres0,6,2015-04-12T09:57:22Z,2015-04-12T22:29:32Z,752
gres0,7,2015-04-13T10:12:26Z,2015-04-13T13:15:46Z,183
gres0,8,2015-08-21T14:42:42Z,2015-08-21T18:38:58Z,236
gres0,9,2015-08-24T13:30:10Z,2015-08-25T03:17:42Z,827
gres0,10,2015-08-25T14:12:04Z,2015-08-25T19:32:08Z,320
gres0,11,2015-08-26T07:09:20Z,2015-08-26T16:28:32Z,559
gres0,12,2015-08-28T06:58:36Z,2015-08-28T18:49:52Z,711
gres0,13,2015-08-29T06:41:50Z,2015-08-29T18:19:26Z,697
gres0,14,2015-08-30T07:00:54Z,2015-08-30T19:03:46Z,722
gres0,15,2015-08-31T06:48:46Z,2015-08-31T17:47:46Z,659
gres0,16,2015-09-01T06:57:16Z,2015-09-01T13:08:58Z,371
gres0,17,2015-09-04T11:14:34Z,2015-09-04T19:36:06Z,501
gres0,18,2015-09-05T09:39:30Z,2015-09-05T19:41:14Z,601
gres0,19,2015-09-06T07:19:42Z,2015-09-06T14:19:00Z,419
hunt,1,2016-02-16T22:26:46Z,2016-02-17T00:37:26Z,130
hunt,2,2016-02-17T13:29:32Z,2016-02-17T18:07:00Z,277
hunt,3,2016-02-18T11:22:52Z,2016-02-18T22:56:34Z,693
hunt,4,2016-02-19T13:01:40Z,2016-02-19T23:37:56Z,636
hunt,5,2016-02-20T10:05:34Z,2016-02-20T14:56:32Z,290
hunt,6,2016-02-21T22:02:00Z,2016-02-22T10:47:00Z,765
hunt,7,2016-02-22T21:21:46Z,2016-02-23T09:43:34Z,741
hunt,8,2016-02-23T20:23:48Z,2016-02-24T04:46:34Z,502
hunt,9,2016-02-24T15:08:08Z,2016-02-25T02:09:34Z,661
hunt,10,2016-02-25T14:51:18Z,2016-02-26T03:45:14Z,773
hunt,11,2016-02-26T14:05:04Z,2016-02-26T16:00:58Z,115
hunt,12,2016-03-01T07:47:10Z,2016-03-01T16:43:04Z,535
hunt,13,2016-03-02T03:27:22Z,2016-03-02T16:57:24Z,810
hunt,14,2016-03-03T06:17:20Z,2016-03-03T18:49:32Z,752
hunt,15,2016-03-07T13:01:28Z,2016-03-07T16:46:44Z,225
kell0,1,2016-02-02T10:41:32Z,2016-02-02T22:58:54Z,737
kell0,2,2016-02-03T16:53:52Z,2016-02-03T18:32:38Z,98
kell0,3,2016-02-06T06:43:08Z,2016-02-06T20:18:16Z,815
kell0,4,2016-02-07T07:45:40Z,2016-02-07T20:28:30Z,762
kell0,5,2016-02-08T06:54:54Z,2016-02-08T19:54:48Z,779
kell0,6,2016-02-09T06:25:08Z,2016-02-09T19:44:50Z,799
kell0,7,2016-02-12T08:01:16Z,2016-02-12T09:40:44Z,99
lewr10,1,2015-04-10T17:53:40Z,2015-04-11T05:52:00Z,718
lewr10,2,2015-04-11T18:16:12Z,2015-04-12T03:05:20Z,529
lewr10,3,2015-04-13T17:56:40Z,2015-04-14T02:46:10Z,529
lewr10,4,2015-05-07T16:53:56Z,2015-05-08T00:30:56Z,457
lewr10,5,2015-05-15T17:30:06Z,2015-05-16T01:16:56Z,466
lewr10,6,2015-05-16T18:28:10Z,2015-05-17T02:22:58Z,474
lewr10,7,2015-05-17T17:34:44Z,2015-05-18T05:20:36Z,705
lewr10,8,2015-05-18T16:54:26Z,2015-05-19T02:34:22Z,579
lewr10,9,2015-05-21T16:08:26Z,2015-05-22T01:13:52Z,545
lewr10,10,2015-05-31T17:33:34Z,2015-06-01T02:25:06Z,531
lewr10,11,2015-06-01T17:26:54Z,2015-06-02T05:20:40Z,713
lewr10,12,2015-06-04T17:42:26Z,2015-06-05T04:01:18Z,618
lewr10,13,2015-06-05T17:01:08Z,2015-06-06T00:16:00Z,434
lewr10,14,2015-06-06T18:34:16Z,2015-06-07T03:39:00Z,544
lewr10,15,2015-06-07T19:36:36Z,2015-06-08T01:17:00Z,340
lewr10,16,2015-06-08T18:11:26Z,2015-06-09T06:08:10Z,716
lewr10,17,2015-06-11T17:57:06Z,2015-06-12T03:00:00Z,542
lewr10,18,2015-06-12T20:30:24Z,2015-06-13T00:00:00Z,209
rice30,1,2015-04-01T12:37:40Z,2015-04-01T21:29:58Z,532
rice30,2,2015-04-02T13:59:24Z,2015-04-02T22:35:14Z,515
rice30,3,2015-04-03T11:42:00Z,2015-04-03T22:08:00Z,626
rice30,4,2015-04-06T15:45:10Z,2015-04-06T23:03:56Z,438
rice30,5,2015-04-07T13:31:00Z,2015-04-07T22:00:58Z,509
rice30,6,2015-04-10T12:12:40Z,2015-04-10T22:03:52Z,591
rice30,7,2015-04-11T09:57:26Z,2015-04-11T23:39:46Z,822
rice30,8,2015-04-12T09:53:50Z,2015-04-12T20:41:00Z,647
rice30,9,2015-04-13T09:53:42Z,2015-04-13T22:02:26Z,728
rice30,10,2015-04-14T09:41:12Z,2015-04-14T21:27:28Z,706
rice30,11,2015-04-15T10:38:08Z,2015-04-16T00:17:26Z,819
rice30,12,2015-04-16T10:30:28Z,2015-04-16T14:17:54Z,227
rice30,13,2015-04-18T10:04:12Z,2015-04-18T16:19:12Z,375
rice30,14,2015-04-21T10:59:32Z,2015-04-21T22:54:06Z,714
rice30,15,2015-04-22T08:56:14Z,2015-04-22T17:04:12Z,487
rice30,17,2015-04-24T11:12:18Z,2015-04-25T00:57:32Z,825
rice30,18,2015-04-25T11:04:12Z,2015-04-25T16:15:46Z,311
rice30,19,2015-04-28T11:18:42Z,2015-04-28T18:22:48Z,424
rice30,20,2015-04-29T07:34:54Z,2015-04-29T20:04:12Z,749
rice30,22,2015-05-01T08:49:36Z,2015-05-01T11:31:50Z,162
rice30,23,2015-05-02T11:30:52Z,2015-05-02T17:27:44Z,356
smiv,1,2015-07-28T08:13:10Z,2015-07-28T15:54:28Z,461
smiv,2,2015-07-29T08:35:00Z,2015-07-29T17:31:00Z,536
smiv,3,2015-07-30T07:23:36Z,2015-07-30T20:56:32Z,812
smiv,4,2015-08-01T07:13:02Z,2015-08-01T20:22:36Z,789
smiv,5,2015-08-04T07:24:42Z,2015-08-04T20:39:12Z,794
smiv,6,2015-08-05T07:25:14Z,2015-08-05T17:52:56Z,627
smiv,7,2015-08-06T07:17:32Z,2015-08-06T20:26:00Z,788
smiv,8,2015-08-07T07:20:22Z,2015-08-07T17:13:12Z,592
smiv,9,2015-08-08T07:16:20Z,2015-08-08T17:14:50Z,598
smiv,10,2015-08-11T07:08:02Z,2015-08-11T15:59:58Z,531
smiv,11,2015-08-12T07:15:06Z,2015-08-12T19:05:16Z,710
smiv,12,2015-08-13T07:10:42Z,2015-08-13T12:55:58Z,345
smiv,13,2015-08-14T07:17:34Z,2015-08-14T19:21:20Z,723
smiv,14,2015-08-15T07:07:34Z,2015-08-15T18:17:52Z,670
smiv,15,2015-08-18T07:16:02Z,2015-08-18T15:51:56Z,515
smiv,16,2015-08-19T07:35:36Z,2015-08-19T16:02:58Z,507
smiv,17,2015-08-20T07:17:40Z,2015-08-20T18:17:48Z,660
smiv,18,2015-08-21T07:35:04Z,2015-08-21T19:32:58Z,717
smiv,19,2015-08-22T07:09:34Z,2015-08-22T17:55:54Z,646
smiv,20,2015-08-25T07:31:42Z,2015-08-25T20:04:58Z,753
smiv,21,2015-08-26T07:10:16Z,2015-08-26T18:33:08Z,682
smiv,22,2015-08-27T07:09:54Z,2015-08-27T18:20:00Z,670
sunc,1,2015-12-20T19:00:02Z,2015-12-20T22:48:58Z,228
sunc,2,2015-12-21T10:46:24Z,2015-12-21T18:33:58Z,467
sunc,3,2015-12-22T08:23:40Z,2015-12-22T13:37:34Z,313
sunc,4,2015-12-23T09:15:52Z,2015-12-23T18:16:06Z,540
sunc,5,2015-12-24T06:24:58Z,2015-12-24T09:23:02Z,178
sunc,6,2015-12-27T16:24:14Z,2015-12-27T22:27:38Z,363
sunc,7,2015-12-28T09:13:46Z,2015-12-28T16:33:58Z,440
sunc,8,2015-12-29T13:49:00Z,2015-12-29T18:35:04Z,286
sunc,9,2015-12-30T09:49:10Z,2015-12-30T22:36:52Z,767
sunc,10,2015-12-31T10:54:06Z,2015-12-31T14:13:22Z,199
sunc,11,2016-01-03T12:13:30Z,2016-01-03T23:55:24Z,701
sunc,12,2016-01-04T10:26:52Z,2016-01-04T21:31:22Z,664
sunc,13,2016-01-05T10:14:12Z,2016-01-05T22:04:00Z,709
sunc,15,2016-01-10T11:05:58Z,2016-01-10T18:47:00Z,461
sunc,16,2016-01-11T18:20:20Z,2016-01-11T23:38:54Z,318
sunc,17,2016-01-12T12:27:12Z,2016-01-12T23:51:38Z,684
sunc,18,2016-01-13T10:55:50Z,2016-01-13T23:51:24Z,775
sunc,19,2016-01-14T10:41:16Z,2016-01-15T00:21:34Z,820
sunc,21,2016-01-18T06:34:10Z,2016-01-18T06:41:40Z,7
sunc,22,2016-01-18T20:53:28Z,2016-01-18T21:37:58Z,44
sunc,23,2016-01-19T12:43:44Z,2016-01-19T16:00:34Z,196
woow59,1,2015-04-07T08:10:40Z,2015-04-07T17:28:42Z,558
woow59,2,2015-04-08T05:20:04Z,2015-04-08T16:18:02Z,657
woow59,3,2015-04-09T05:59:18Z,2015-04-09T15:35:00Z,575
woow59,4,2015-04-10T01:59:36Z,2015-04-10T10:55:24Z,535
woow59,5,2015-04-10T21:23:14Z,2015-04-11T05:12:22Z,469
woow59,7,2015-04-15T06:48:28Z,2015-04-15T16:46:10Z,597
woow59,9,2015-04-17T23:51:42Z,2015-04-18T09:47:52Z,596
woow59,10,2015-05-03T13:24:40Z,2015-05-03T15:45:12Z,140
woow59,11,2015-05-07T10:39:34Z,2015-05-07T12:05:52Z,86
woow59,12,2015-05-08T02:06:50Z,2015-05-08T13:29:08Z,682
woow59,13,2015-05-10T09:59:22Z,2015-05-10T19:07:22Z,548
woow59,14,2015-05-11T07:35:10Z,2015-05-11T19:57:28Z,742
woow59,15,2015-05-12T06:30:16Z,2015-05-12T17:44:44Z,674
woow59,16,2015-05-13T09:21:38Z,2015-05-13T21:49:56Z,748
woow59,17,2015-05-14T07:58:12Z,2015-05-14T19:44:32Z,706
woow59,18,2015-05-15T06:05:18Z,2015-05-15T18:52:08Z,766
woow59,19,2015-05-18T06:52:12Z,2015-05-18T17:48:50Z,656
woow59,20,2015-05-19T04:05:20Z,2015-05-19T13:45:54Z,580
woow59,21,2015-05-20T02:13:16Z,2015-05-20T13:13:12Z,659
woow59,22,2015-05-21T06:17:12Z,2015-05-21T19:34:58Z,797
woow59,23,2015-05-22T05:50:18Z,2015-05-22T19:17:16Z,806
woow59,24,2015-05-23T09:33:30Z,2015-05-23T10:40:36Z,67
woow59,25,2015-05-27T08:50:10Z,2015-05-27T21:30:38Z,760
woow59,26,2015-05-28T08:22:56Z,2015-05-28T20:34:44Z,731
woow59,27,2015-05-29T06:35:06Z,2015-05-29T18:04:58Z,689
woow59,28,2015-05-30T06:20:32Z,2015-05-30T19:03:28Z,762
woow59,29,2015-05-31T05:53:28Z,2015-05-31T19:43:42Z,830
woow59,30,2015-06-04T10:35:40Z,2015-06-04T17:03:26Z,387
